심슨 가족, 더 무비
10,아 스파이더피그 미치겟다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,시즌18를 달리는 심슨가족... 그 위력은 영화에서도 여전하다
8,ㅎㅎ어른들을 위한 코미디 잼있삼.
9,바트의 누드쑈!! ㅋㅋㅋ 완전 강추!!
10,Spider Pig Does Whatever Spider Pig does
10,지루한 일상속의 반전!!
10,마지막 장면 반전 보고 뒤집어졌다
10,재밌는 애니는 심슨밖에 없듯이 기대도 많이했고 기대에 어긋나지 않았다
10,최고임... 말이 필요 없음
9,기대를 너무 많이 한게 문제였네요 ㅎㅎ;
10,최고에요
10,5번이나 다시봐도 안질림 ㅋㅋ
10,무슨 돼지가 X을 많이싸 ㅋㅋ 배꼽이 빠지겠네 ㅋㅋㅋㅋ
10,Doh~~~~~~me~~~ ㅋㅋㅋ 영화라기 보다는 에피소드
10,ㅋㅋ 보는 내내 웃었따 ㅋㅋ
9,tv시리즈를 모르면 이해할수없는부분이 많아도 재밌었다. Dome!!!!!
10,웃긴장면들... 다 세지도 못하겠다ㅋㅋ
10,이런건 보고 웃었으면 그만이다.
10,말로표현못해..
10,기대하고 봤는데 역시ㅋㅋ 최고! 극장에서 돈주고 봐도 전혀 아깝지 않음!
9,집에서 봐도 재밌긴 한데.. 영화관에서 보면 더욱 재밌을듯..^^;
9,성인이 봐도 재미있는 애니메이션.
10,스파이럴 피그~ 스파이럴 피그~
3,완젼 재미없어ㅡㅡ
8,할로윈스페셜보다도오히려더약한듯ㅠㅠ번즈가더마니나왔어야했음ㅋㅋㅋ
9,의외로 괜찮았음..^^;
10,굿굿굿굿
9,스프링필드 만세,미쿡 만쉐, 심슨 만만세!
10,너무 재미있어요 >ㅁ<
5,별루~ 극장판이지많 느낌은 평소심슨이랑 같아
10,잼있어욤.ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,돈주고보기 아깝다는 사람들은, , 정말돈없는사람, 적어도돈아깝진않어
9,명장면도 많고, 풍자도 좋고, 역시 심슨가족의 센스는 변하지 않았다 !
10,너무 재미있어요 >ㅁ <
9,후반부만 약간 쫌 그렇고 완전 재미있었음 ㅋㅋ  돈내고 봐도 될만한 영화
8,후반부가 좀 흐지부지 .. 아쉽지만 역시 최고!
7,tv시리즈물이 더 괜찮은것 같아요.
8,★ 스파이더 피그 압권!
10,역시 심슨은 실망시키지 않아
10,웃겨 디지는줄 알았어ㅋㅋㅋㅋ이거 보는데 보는사람들 다 뒤집어지면서 웃음
7,난 그냥 그렇던데
10,재밌삼♡♡♡풉^_^
8,나는 이 영화를 불법 다운로드하지 않겠습니다 대략 난감-__;;
10,ㅋㅋㅋㅋㅋㅋㅋ 재밋는데
5,TV 유머를 돈을 따로 주고 보기엔 아깝다.
9,재밌다 푸풉
9,정말 재미있다 그리고 틈틈히 패러디가 나오는대 그것또한 볼거리다
10,정말 재밌었다 ㅋㅋㅋ
10,더도말고 덜도말고, 언제나 이렇게만!!
6,미국식유머였다.난 힘들었다고 ㅜㅜ
9,진짜 재밌었다 ㅋㅋㅋㅋㅋ후반에 약간 안웃겨서 -1점
6,TV시리즈만큼 재미있다.
10,아는 만큼, 집중하는 만큼 잼있다. 패러디의 천재들. =ㅂ=)b
8,후반에 갈수록 스토리때문인지 코믹한 부분이 줄어들었음 ㅜ
10,ㅋㅋ 완전재밋다 ㅋㅋ 스파이더피그~ 스파이더피그~ ㅋㅋㅋㅋㅋ
7,심슨가족이 신나게 까발리는 '그레이트 아메리카'
10,스파이더 피그 하나만으로 웃었던 영화 ㅋㅋㅋㅋ
10,이런영화는스토리따지면서보는게아니다ㅋㅋㅋㅋㅋ추천!
10,기대 이상으로 재미있다. ㅋ
10,충분히 재미있었다. 심슨은 심슨이니까
8,볼만하다.특히 재미자체는 낮아도 유머가 지속적으로 웃기기에.
3,난 보다가 나왔는데 ㅡ,.ㅡ
10,내용없이 열심ㅎ ㅣ웃으면서 본 영화
8,깔끔하고, 웃기고, 풍자까지. 이정도면 왠만한 영화보다 낫다..
9,Doh!
10,아이나 어른이나 모두 웃을 수 있는 그런 만화영화!!
8,미국식 유머를 줄이기 위해 노력한 흔적/그래도 전체적으로 재미있었다.
10,정말 골 때린다. ㅋㅋㅋ
7,의미는 있는데 재밌다거나 그 이상은 아니다..
10,최고
10,심슨팬이라면 즐겁고 행복할 영화, 영화보기전, 영화본후 모두 두근거렸다.
6,시즌전체에피소드중에서도 가장 평이한 에피소드 4가지정도 붙여놓은수준.
4,스토리가 너무 지저분한느낌. 재밌긴 하지만 전체적으로 별로다.
10,TV판 보는 사람들에게 어필하는 서비스. 항상 그랬듯이 최고
10,심슨가족들을 제외한  나머지  케릭터들 비중이 작은게 약간 아쉽다..
10,최고다.. 오프닝 부터 울뻔했다.
4,만화만큼 깔끔했으면...
5,그림자만 추가한 심슨. 특별한건 없다.
10,올해최고의 영화! 풍자,유머... 또보고싶다....
8,괜히끌려서봤는데..시작부터웃기던걸요 ^^재밌었어요~
10,미국 사회를 아주 잘 꼬집어냈다. 그리고 너무 웃은것 같았다.
10,보는 내내 즐거웠어요~
7,영화도 기대한만큼 볼만했구요 TV에서 볼수없던 장면도 ..;
8,배꼽잡을 정도는 아니지만 적절한 재미와 감동이 있다
10,티비에서는 볼수없는신선함 ㅋㅋ
9,수준높은 만화다. 이것이 진정한 블랙코미디!!
10,TV로 보는 것과는 조금 다르지만 심슨의 매력은 여전하네요~
6,극장 돈 주고 보기 아까운 편임...근데 한글도 나오던데..
10,심슨더무비보다 죽을뻔 ㄱ-乃
9,티비시리즈 좋아하는 사람이라면 좋아할듯
7,전형적인 미국 코미디
5,몇 장면은 좀 웃기긴해요..ㅋㅋ 하지만 돈주고 보긴 좀 아깝다는거
9,결말같은건 생각 안하면 계속 재밌다~~~
4,낚이지 마삼ㅡ 보다가 잼없어서 잤어요ㅋㅋ내 돈 물어내~~
10,진짜 최고예요ㅋㅋ 너무 재밌어요, 너무!!! 영화내내 웃기만 ....
10,가족들이랑애들모두보기좋은거같고내용도질리지않고재미있다^^*
10,진짜 재미 있었다 ㅎㅎ
10,어떻게 영화사 로고 나올때부터 웃기냐..ㅋㅋ
9,정말 재밌다
10,진짜 잼있었음
10,울가족 다 웃었음ㅋㅋㅋㅋㅋ역시 심슨!!!!
10,재미있었음!!
9,재밌는데 개인적으로는 약간 부족한듯 할튼 웃기기 보다 재밌다는 느낌?
10,아 살려줘 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,ㅇ ㅏ 졸ㄹ ㅏㄱ ㅔ 웃ㄱ ㅕ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,진짜 재밌다..ㅋㅋ 극장 에서 웃음소리가 떠나가지않았다
10,바트와 호머는 역시 코믹부자다
10,상상초월...심슨가족... 시리즈보다 훨 재미있슴
10,킬링타임
9,남는건 없지만 1시간 반동안 미친듯이 웃었네~ㅋㅋㅋ
10,완전 웃깁니다 ㅋㅋㅋ티비로 심슨 재밌게 본적있으신분들은 꼭보시길 ㅋㅋㅋ
8,완전웃김ㅋㅋㅋㅋ
5,so so
7,티비로 심슨을 재밌게 본적이 있던 사람이라면 충분히 재밌다.
9,이것이 애니매이션이다!
8,아나 나중에 심슨같은남편만날까두려워 ㅋㅋ 그냥 웃기다 ㅋㅋ
10,이런만화 처음이야!! 요절복통
10,애들보기 안좋다 안좋다 그렇게들 말하는데 편견부터 버리시기들 ㅋㅋ
10,재밌다 그냥 웃을 수 있다 으하하
10,40평 보고 봤는데 진짜 재밌네 ㅋㅋㅋ
10,정말말이필요없다 진짜 재미다 가족에사랑도 느낄수있다
7,볼만함. 웃긴요소도 꽤 있음. 상상력 기발
10,진짜 죽인다 재밋다 유쾌하다
9,보는내내 유쾌하다 ㅎㅎㅎ
10,말이 필요없다~~ 올해 최고 영화~~
4,TV시리즈를 보신분은 실망 합니다.
10,유쾌한 코미디 재밌다
7,거침없는 재미. 유쾌하잖아.
9,TV방영보다는 별로 재미없었지만 스케일이 커서 좋았음 강추
10,역시 심슨이야 크하하 ㅋㅋ
10,무지하게 재밌던데..심슨의 재미를 모르시는분들은 잘 모르실수도...
10,ㅋㅋㅋ 심슨 얼간이 ㅋㅋㅋ
8,시간가는줄 모르게 전개되는 흥미진진한 스토리!!ㅋㅋ
10,조연출의 목소리를 들었다면 그대는 수많은 한국인 크레딧도 보았을 것이다.
8,전형적인 심슨 가족 코미디, 옛향수를 일으키지만 돈내고 보기엔 좀...
10,짱이야짱 ~ 본영화중에서젤잼는데 -  - ㅎㅎ 굿굿굿 !
6,이정도가 웃긴가.. 하핫.. ㅡㅡ;
10,간접적인 시사 풍자 애니! 정말 웃기고 정말 느끼는게 많다.
10,아 정말 로그인하게 만드네.. 최고
10,제대로 웃기고 과거의 향수까지 ㅎㅎ .. 좋았다
8,아이들이보기엔 정서적으로 안좋은영화지만 좋앗다
9,돈 아깝지 않다
10,나는 이 영화를 불법 다운로드 하지 않겠습니다. (칠판 대박)
9,적절한 풍자에 엄청난 폭소탄까지.. 미국만화의 절정
10,극장가서 이렇게 눈물나게 웃어본건 첨이였어여~! 기분전환 지대루됨!!^^
10,와..망원경 던졌는데 다시 되돌아와서 맞는거 졸라웃김/..ㅠㅠ
10,무지웃기구만
10,역시 심슨!!
10,아진짜 웃기든데 ㅋㅋ
6,가족용 심슨가족. 경계선을 넘지않은 심슨의 파워란 그럭저럭 본전.
10,처음 타이타닉 패러디부터 뒤집어졌음! 정말 웃깁니다! 꼭 보세요~!
5,웃기다기보다는 그냥 볼만해요..아이들보다는 어른들에게 좋은만화영화? ㅎ
10,최고!
9,풍자 대박 ㅋㅋㅋ 너무 재밌어요 ♡ 후속편도 기대하고 있는 중 ㅎ
10,재밌다
5,이게 웃긴가요 .. -_-;;;;;;;;
10,심슨가족 이번에 처음본건데.. 역쉬 대박이였삼~~ 심슨 원츄~ +_+
7,재미는 있었는데// 난 왜 지루했지..ㅜㅜ
10,역시 심슨가족들은 날 실망시키지 않았다... 쵝오!!!!!!!!
9,심슨인데 무슨말이더 필요하리!~~ 짜잔
8,I will illegally download this movie.
9,최고다. 역시 호머 두~~
10,아.. ㅇ ㅣ거 대박이야.. 진짜 추천!!!!!!!
9,단순한 애니메이션이 아니었다,역시..기다린 보람이 있었어
10,사람들이 좋아하는 이유를 알았다ㅋㅋ완전 뒤집어지게 웃었음!!
10,큰 화면에서 '크게'노는 심슨 가족. 패러디와 영어의 언어유희가 백미
10,스파이더피그~ 스파이더피그~
8,재밌긴 했지만 기대 이하
10,재밌는 유머, 패더리...심슨최고다ㅎㅎ
8,심슨 ㅋ 괜찮은데 ㅋㅋ
1,차라리 tv판 보겟다... 이건 아냐... 지루함의 극치
10,TV만화 시리즈를 영화로 만들었어도 전혀 손색이 없는 작품~ ㅋ
10,러닝타임 내내 웃기만하다 끝났다
9,너무웃겼다!!!!!!!!!!ㅋㅋㅋㅋ 다만...왜케짧은지..ㅜㅜㅋㅋ
10,진짜 미국을 보여주는 심슨 가족
3,.........-_- ... 그냥 웃고 즐기기에만
10,심슨가족에게 돌을 던질 사람 그 누가 있을까? ^^
10,오프닝이 정말 정말 정말 심슨가족 답다!
10,역시
10,완소심슨! 정말 웃느라 ㅠㅠ 이 넘치는 센스들어쩔거야 ㅠㅠ
10,역시 심슨이야 ㅋㅋ 더 좋아지는 나의 호머♥ 또봐야지~
8,정말 역시 심슨이었다. 앤딩 크래딧이 올라가는 그때까지 계속되는 유머
10,역시 심슨이네요 항상 건강하길 ㅎㅎ
9,많이 웃엇다...역시 심슨가족
9,재밌다. 근데 스파이더 피그는 어디로 갔지?? ^^
10,120% 심슨스러운 영화. 대만족. 밤에 심슨꿈 꿨어요.
10,역시 심슨! 기대를 져버리지않았다!!!
10,역시나~~^^
8,심슨가족에 충실했다! ㅋㅋㅋ 엔딩크레딧까지 원츄...
10,많이 웃엇음^^
5,웃기 영화이긴 하지만 TV로 보기에도 충분하다
1,영화보다는 만화가 더 재밌습니다ㅡㅡ 재미없음
5,티비에서 공짜로 볼 수 있는데 극장에서 보다니 ㅠㅠ
9,극장가서 엔딩크레딧까지 꼭 보세요!
9,역시 심슨다움은 이런것이지!
10,인간적으로 너무 웃기다. ㅠㅠㅠㅠ 역쉬 심슨스!!
10,정말 재미있어여..따운받지 말고 극장에서 봅시다!! ^ㅂ^
10,정말 정말 정말 쵝오였어용 ∩_∩ㅋ 처음부터 끝까지 풀로 웃었습니당.ㅋ
10,와 진짜웃겨 ㅎㅎㅎㅎㅎㅎ
10,진짜 웃기다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,올해 최고 영화!
10,이래서 심슨이 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 진짜 웃겨
10,하하... 최고!!!
10,진짜재미있게봤어요ㅋㅋㅋ굿굿굿
9,너무 재밌다.
10,진짜 미친듯이 웃었음 그냥 거의 계속 쉬지 않고 웃었다 그냥 다 웃기다 최고!
10,군더더기 없이 깔끔하고 유쾌한 영화! 심슨은 우리를 실망시키지 않았다
10,재밌다TT
8,충분한 걸작
10,배꼽이 빠질정도네요.,....ㅋㅋ
10,영화로고나올때부터 영화내내 웃고 끝에 제작진올라갈때까지 웃는다
9,구로CGV]TV물보다 재치는 떨어지나 역시 재밌고 사랑스럽다
8,재밌다.
10,제발 숨쉴 시간좀 줘라 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 웃겨죽어!
10,진짜 재밌음 ㅋㅋ
10,아 나 ㅋㅋ 말이 필요없음 정말 ㅐ미있음
10,짱
9,심슨의 특색이 잘 드러난 영화
10,평론가들 오바하네 또 그럼 여기는 한국이니깐 한국 영화나 쳐보세요
8,뼈가 숨어있는 영화!
7,멀쩡한리사만좋아했지만 심슨이멀쩡?하니별로;; ㅎ
8,간만에 회포를 풀었다^^
10,발상자체가 너무나 발칙한...
10,재미있서염
9,유쾌하다!
9,심슨가족의 유머가 돋보이네요^^재미있는 영화에요^^
10,보면서 많이웃었습니다 ^ㅇ^ 정말즐거운영화에요 ~심슨가족짱 ㅋㅋㅋㅋ
10,아미치겠다 진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,개쩐다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
8,심슨의 넘쳐나는 센스! 정말 웃다 지쳤다.
1,막장을 달리고 있는 심슨
10,재미있게 봤습니다 ㅎㅎ 역시 심슨이란말이 나오는군요ㅋ
10,중간에 다음에 계속에서 바로 이어집니다. 센스 굿 입니다. 역쉬 심슨ㅋ
10,와 진짜 너무 재미있는거 아닙니까?ㅋㅋㅋ 진짜 죽을만큼 웃었습니다 ㅋㅋㅋ
10,오늘 영화관에서 보고 왔는데 재밌었다! 역시 심슨!
9,재밌어요..! ㅋㅋ 일반 심슨 만화보다 훨씬.ㅎㅎ
8,괜찮네..
10,재밌다 역시 심슨답다 스파이더피그~스파이더피그~
8,tv시리즈의 정신을 제대로 이어받은 영화!!풍자는 tv판을 능가할정도!!
10,이제 한동안 재패니메이션은 전혀 안볼 것 같다.
10,초딩때 브라운관으로 보고 군대갔다와서 빅스크린에서 봤다 여전히 재미있다.
10,마지막 엔딩 크레딧에서 많은 우리나라 사람들이 나오는게 자랑스러웠다.
10,미국식 코미디~~~~웃겨요~~ㅋㅋ
10,넘 웃긴당...미국코미디
10,당연하지. OOO의 노하우가 집약되었으니. 자국에 가하는 통렬한 비판!
10,정말 잼있어요.. 몇몇 안목 없는 놈들이나. 별 최하로 주지..
1,심슨극장판 실망 그자체다 차라리티비 심슨 할로윈편을 보는게 더 재밌다
10,사회풍자와 패러디가 적절하게 들어있어서 재미있게본영화
10,시즌1부터 달려본 사람이라면 함 봐야지.
2,난..체질이..끅
10,오 정말 웃기다... 애들 정말 낄깰대더만
10,역시 심슨!!10초마다 웃었다 아놔
9,진짜 웃기다 ㅋㅋㅋㅋㅋ
10,스파이더피그ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ최고
8,웃기긴했는데 나이가 들어서 그런지 지루한감이 없잖아 있었음..그래서8점
10,지대 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,역시 대박 웃음 심슨!!! 한번더 볼까?
10,아~ 완전 사랑한다! 심슨!!
10,역시 심슨..!
10,진짜 최강웃겨 ㅋㅋㅋ
10,특집 애니메이션 본 기분? 굿굿
10,빨리 속편이 나왔으면 좋겠어요 ㅋ
8,처음엔 이치와스크레치하고 맥배인이 대통령에 닉박사는 어이없게 죽네 ㅋㅋㅋ
8,무서운 영화 이후로 생각없이 웃을 수 있는 영화!
10,여우비같은 엉성하고 수준낮은 한국애니랑은 질이 틀리더군.잼있었슴.
7,심슨애니 많이보신분들은 별로...애니한편본것같군요ㅡㅡ;'
8,그냥뭐 심슨이 어디가겠습니까 ㅎㅎ 재밌네요
10,mcflylove님 심슨"만화"제작진은 전부 한국인이었단거~
10,심슨은 최고의 에니메이션이자 풍자패러디 역작!!! 최고다
10,할리우드 만화니깐 10점이다 한국만화는 쓰레기 아예촌티나
10,심슨은 언제나 해피
10,최고다~! 그러나 역시 영어 개그를 한국어로 이해시키기에는 한계가..
3,극장에서 본 내생각이 역시 짧았다...
10,역시나 패러디 개그에 있어서 한 센스 하는 기대에 부응한 심슨 극장판
8,역시나 심슨! 하지만 TV쇼에 비해 살짝 부족한
8,이거보면서 OO 나혼자 존나크게웃었어 ㅡㅡ
10,ㅋㅋ 너무 재미있요 ㅋㅋ
10,ㅎㅎㅎ 풍자,개그 모두 최고!
10,짱짱짱~!
10,미국식 화장실 개그와 비교하지마라~상상을뛰어넘는 개그!  완소심슨~원츄ㅋ
8,아놔 가슴큰할머니 ㅋㅋㅋㅋ
10,스파이더 피그와 호머...그리고 불쌍한 호머의 아들..
10,아정말 이것만큼 추천할만한 것도없다 완전강추
10,오.. 호머 제발..
8,입체적으로 즐길수있는 애니. 숨겨진 세심한 센스를 찾아라
9,재미없어 보인다고 간과 하기엔 너무나 큰 오류
10,심슨형~ 이번에도 한것 했구먼...'ㅁ'
9,이제와서야 심슨의 매력을 안것이 너무 아쉽고 한편으로 기쁘다ㅠ
10,빈보고 좌절했다가.. 이거보고 쓰러짐ㅋㅋ 정말 강추
9,역시 심슨!!!!!!
10,아주우~재밌긴하지만 호머심슨말대로 극장에서 보기엔 쫌........
9,너무 재밋고 웃겼다 심슨가족이 이런가족이였꾸나,,,
10,무지 잼있어요.....^^   개그가 장난 아님ㅎㅎㅎㅎ
7,심슨스타일을 여기에 한번에..미키마우스 비하할때 뒤집어졌다ㅋㅋㅋ
7,동문서답과 직설화법의 막장 Life! 극장판 영웅주의결말의 아쉬움.
10,어린층은가볍게 어른들은  가벼움과깊은풍자를동시에!대박임
7,미국식 유머.......... 별로 재밌진 않네요.
10,이거 진짜 재밌당~
10,이젠 스파이더피그 아냐 해리피그지!
10,이건 최고다,, 보고나서 또보고싶은 영화이다
8,TV 시리즈를 안본 사람들은 조금 적응하는데 시간이 걸릴지도.. 유쾌했다.
9,개념없는 가족들의 유쾌하 좌충우돌 생활기..
10,유쾌+발칙+통쾌 레볼루션!!
10,너무 재미있다는 표현이 꼭 맞아 떨어지는 영화가 아닐런지..
10,미안하다. 다운받아 봤다. 10점 주께 이해해 ㅠ
10,큰웃음은없는데 지루하진않네요
6,그럭저럭 재미있었다.음... 은은한 감동이 있었으면 더 좋았을걸 ^^;
5,보는 내내 "어디서 웃어야 하지" 생각하다 보니 끝났다
8,한국정서에 안 맞는 부분이 있지만 위트있다. 풍자가 직설적이다.
10,역시 심슨가족은 우리를 실망 시키지 않는군.
10,진짜 블랙코미디애니의 진수!! 정말 볼만하고 재밌었어여 보고 후회안했음
7,다운받아서는 볼만함
7,좀만더 웃기고, 비판적이었으면 하지만, 그래도 재미있다 ㅎ
8,시원하게 재밌었다ㅋㅋㅋ
10,망치로 눈 찍는 장면에서 대폭소!! 최고의애니메이션~!
1,영화 앞 호머 말 그대로..TV에서 공짜로 하는걸 왜 돈내고 영화로봐..
8,아이들이 보기엔 잔혹 엽기 고어다. 근데 되게 코믹하다.
3,tv에피보단 재미없다고 느낀 2人
1,헐리우드에선 이런게 아직 먹히는구나...심슨 재밌다고 생각해본적이 없는데
10,엔딩크레딧동안 한국인 200명 이름은 지나간듯.. .
10,재밌다~!!ㅋㅋ완전심슨아빠 ♡
8,재밋다! 우끼다! 영화관에서보긴 쵸큼 돈아까울것같다.
8,봤는데 예고편 설명이랑 조금 다르던데.. 지구 구하는게 아니고..
10,Good 역시날 실망안시키는군하 @
9,심슨가족 처음봤는데 진짜x3 재밋어요~ 이해안가는유머빼고..?ㅋㅋㅋ
10,아는자만 웃는다
10,심슨가족을 챙겨보시는분이라면 꼭!
7,좀 더럽게 진행되네  - - ;;
9,미국에서 먼져 봣는데 재밋드만 ㅋㅋㅋ
10,잼잇음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 톰행크스때문에
10,텍사스사투리영어회화강습 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ톰행크스 ㅋㅋ
10,한국어 간판과 마지막 글 다 올라가고 청소부ㅋㅋㅋㅋㅋ
1,충격과 공포 그 자체다 그지깽깽이들아
10,미국식 유머와 패러디의 결정판.
10,재밌었요~!
8,재미있었어요.. 다른 심슨 시리즈와 달리 감동(?)을 주는...ㅋ
9,택사스 사투리 강습이란 한국어 간판 등장
8,tv에피보단 재미없다고 느낀 1人
8,재밌다!~  빈 보다 웃기네~~ ㅋㅋ
10,재밋습니다ㅋㅋ 간판에 우리말도써져잇고ㅋㅋㅋ 스파이더피그
9,재밌다. 가족영화의 바이블, 코메디와 교훈을 동시에, 역시 심슨~
8,재밋긴하지만 그래도 좀 지루한 면이
9,젠장할 .. 뭐 웃기긴햇다만 -0-.......
9,역시 심슨...ㅎㅎㅎ
10,어둠의 경로로 다운받아 봤는데 ㅋㅋ 진짜웃김
9,발칙한 만화영화..ㅋㅋ재밌다..
8,미치겠다 진짜 !!!!!!!! 엔딩 크레딧 다올라갈때까지 꼭 보시길
10,역시 심슨네가족은 나의 기대를 저버리지 않는다 ㅋㅋ 폭소 그 자체!!
7,뭐여.. 완전 한국산 만화잖아.. 크레딧보니까 한국사람이 다 그렸대..
10,우와 ㅋㅋ 할아버지 총들때 웃겨죽는줄 알았다ㅋㅋㅋㅋㅋㅋㅋ
10,정치와 세상을 풍자하고 비판하는 트렌드식 미국식 코미디
10,미국정치 풍자 굿.
10,다운해서 보세요. 영화관에선 돈이 좀 아까울 듯
9,심슨 역시 당신은 웃겼어ㅋㅋ
4,미국에선 개봉한거 아시죠? 생각보다는 좀 지루하고 재미없었어요 에구..
8,티비에서 보나 영화로 보나 차이없음 ㅋㅋㅋㅋㅋ
9,좋네요 좋아~^^
2,지루해 죽는 줄알았네... 투니버스꺼랑 다를게 없어..
9,역시 심슨 풍자와 코믹이 완벽한 조합의 영화였당...
6,가족들과 같이 보러가면 후회하고 나올지도 모름
9,기존에 심슨을 좋아했던 사람이라면 만사오케이...ㅋㅋ
5,아 그냥 약간의 웃음 뿐 도움되는내용이 없다
1,맨처음 딴따라 할떄만 웃겼다
9,러닝타임이 좀 짧아서 아쉽다.
10,처음으로쓰는 평가!진짜 재밌고 유쾌하고 안보면 후회할 영화ㅋㅋ심슨 너무 귀엽ㅋㅋ
10,웃기면서도 주제가 있다 거기에다가 그린데이와 톰 행크스의 목소리는 덤!
1,됐거든.
10,영어 공부도 딱~! ㅎ
10,가족끼리 또다시보고싶은영화!!
9,미국식 유머로 가득.... 심슨 잘 모르는사람과 보면 위험할듯
10,ㅋㅋ 호수때문에ㅋㅋㅋ 맨마지막에 캐웃겨 ㅋㅋ 다리에다 못을 ㅋㅋ
9,stermab//말대로 정말 아는만큼보이는영화 보는내내 피식피식~
10,신랄한 사회비판과 매력적인 패러디 그리고 여전한 우리 심슨 가족
8,ㅋㅋㅋㅋㅋ 웃겨 ㅋㅋㅋ
8,대체적으로는 재밌는데 중간 부분에서부터 조금씩 지루해짐ㅠ
10,웃겨 디지는줄 알았음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 간만에 기분좋은 =+=
10,아는 만큼 보이는 영화 초딩영화로 본다면 그 사람 수준이 초딩..
8,ㅎㅎㅎㅎㅎㅎ진짜 웃긴다!!
10,진짜재밌었어요... 완전재밌음..
9,가히 압도적인 코미디 패밀리 심슨 가족!
10,-- 초딩영화라니요,,,알고봐야 잼있죠,,
6,그냥 시간 있을때 볼만한 만화영화 평균점수는 한다
10,평소에 심슨가족을 안 본 사람은 웃어야 할 부분을 많이 놓칠듯
10,아 완전 웃김 ㅋㅋㅋㅋㅋㅋㅋㅋ
10,최고 정말 최고... 최고의 웃음을 선사해줬다.
2,일본 애니 보다가  양키꺼보려니... 켁~
8,미국식 사회풍자 코미디... 재밋던데?
10,심슨..자세히보면 여러가지 사회비판의식을 담고있는데..요번엔 어떨까?
10,정말 재미있음ㅋㅋ 그런데 강이 오염됬다고 사람들을 다 죽일라카냐..
1,졸라 지루했음~ 주인공 심슨 졸라 때려주고싶은 충동이.ㅎ
10,웃겨죽는줄알았다.. ㅋㅋㅋ  근데 초등학생이보기엔;
7,ㅋㅋ 그냥 즐길수잇는영화..
6,흔하디 흔한 코미디, 한국정서와도 별개 심슨=아동용 영화!
7,한국 사람들이 참 많이 참가한 영화...엔딩크레딧도 끝까지 재밌음
10,봤는데.. 지루해요
8,호머심슨,, 말안들어 ㅠㅠ
9,아 오랜만에 많이 웃었다. 역시 심슨은 이런 맛이지~~
10,재밌음 ㅋㅋ
10,재밋다~~~~~~~~~~~
10,난 영화를 불법으로 다운받지 않겠습니다..초웃겼음
9,코미디 감동 모든즐거움! 만화라는게 믿겨지지 않을정도 OST도 최고다!
10,화이트칙스같은거랑 맞먹음 ㅋㅋㅋㅋㅋㅋ존나웃겨
10,D'ho!!! 호머의 미국 문화 빨아들이기! 최고다!
10,재밌더라구요.. 다운받아 봤는뎅..
10,너무 재미잇다. OST 가 정말 환상적이다..
10,최고 !!! 호머가 돔 탈출할때 ㅋㅋㅋㅋ
10,완전재밌다 ㅎㅎ
10,역시 심슨~~~~~~ ~~~~~~~~
6,한번씩웃기긴하다만 그저그런...이정도 블랙코미디는 흔하다.
10,유머로 너무 꽉 채워놔서 숨 돌릴 틈이 없다 !
10,올해는 좋은 애니가 많이나와서 좋네요 두번봤어요
9,만화영화를 싫어하는 나. 하지만 이건뭐야? 얜 뭔가있어.
10,만화본좌....역시 라는말..
8,심슨은 이런맛에 보는구나,무심한 듯 시크하게 유머~ㅋ
10,역시 심슨 ㅋㅋㅋ
7,역시 풍자하나는 죽여주는 애니라니깐 ㅋㅋ
10,ㅋㅋ 역시 재미있군..
8,스파이더피그송 ㅋㅋㅋㅋ
10,너무너무 사랑하는 심슨 ♥
10,텍사스 사투리 영어회화 강습
9,웃기고 재기발랄하다. 엔딩크레딧 다올라갈때가지 나를 웃기네
10,약간의 블랙코미디와 가족애가 숨겨져있는 영화
10,괜찮앗던거 같다
6,생각보다너무높은평점?웃기긴웃겻으나약간의지루함도
10,스파이덜피그가 날 웃겼다.
10,별로 기대 안하고 봤었는데 정말 심슨가족 그대로다. 재미있다.
7,ㅋㅋㅋㅋ이런식의 개그 오랜만에 큰웃음 ㅋ
